"country","tons2018","tons2017","tons2016","tons2015"
"Chile","5831600","5503500","5552600","5772100"
"Peru","2436951","2445585","2353859","1700817"
"China","1561100","1706400","1851000","1706400"
"DR Congo","1239059","1094638","1023687","1039007"
"United States","1220000","1260000","1430000","1380000"
"Australia","913336","849121","947555","995881"
"Zambia","861946","799329","774290","711515"
"Russia","785300","762300","702300","711400"
"Mexico","696580","742246","793982","594451"
"Indonesia","651132","621979","727959","586914"
"Kazakhstan","632550","540700","471500","467500"
"Canada","542932","597194","695508","714647"
"Poland","401300","419300","424276","425870"
"Brazil","381000","384542","338921","350940"
"Iran","316380","295653","282500","254709"
"Mongolia","309750","314920","374260","335850"
"Spain","186500","204606","172522","129788"
"Myanmar","179310","126930","94390","69850"
"Laos","154948","153304","167679","167702"
"Bulgaria","112850","110290","111870","112600"
"Sweden","106140","104594","79247","75113"
"Papua New Guinea","96277","105448","80022","45185"
"Turkey","87000","85200","107300","108000"
"Philippines","69933","68156","83649","83835"
"Armenia","68928","95793","95080","51765"
"Saudi Arabia","59650","43150","27840","12340"
"Portugal","49064","63812","74352","83081"
"South Africa","46900","65532","65257","77360"
"Finland","46755","53144","47488","41805"
"Serbia","44096","45115","34625","31601"
"Ecuador","42200","8200","40200","1400"
"Uzbekistan","38000","100000","100000","100000"
"India","35450","31820","29670","34220"
"Morocco","34500","35420","31810","26850"
"Mauritania","28137","28791","32818","45001"
"Vietnam","22440","21100","22300","24420"
"Republic of the Congo","18018","15979","0","0"
"Argentina","17435","33303","81902","61765"
"Eritrea","17300","7900","25300","61600"
"Georgia","15250","14700","12200","11700"
"North Korea","15000","15000","20000","15000"
"Pakistan","12538","10052","14136","13056"
"Tanzania","10000","15800","17400","16800"
"Colombia","9918","9356","8493","5463"
"Zimbabwe","9077","8839","9101","8218"
"Dominican Republic","8588","9618","9725","7324"
"Tajikistan","8490","6060","2050","1390"
"Romania","8165","8160","8390","7710"
"Kyrgyzstan","7944","8356","8638","3100"
"Namibia","5900","15466","16391","13913"
"Bolivia","5216","7219","8718","9479"
"Albania","3780","0","2020","2190"
"Azerbaijan","1650","2063","1947","969"
"Botswana","1462","1239","13120","22284"
"Cyprus","908","1293","1754","2121"
"Slovakia","21","32","39","58"
"Oman","0","0","0","8650"
"South Korea","0","7","117","0"
