"DTI_CL_ANO","Year","DTI_CL_CUT_2010","Region Province Commune","Value","Flag Codes","Flags"
"2010","2010","15000","Region of Arica y Parinacota",509,,
"2010","2010","01000","Region of Tarapacá",694866,,
"2010","2010","02000","Region of Antofagasta",2942178,,
"2010","2010","03000","Region of Atacama",418259,,
"2010","2010","04000","Region of Coquimbo",488787,,
"2010","2010","05000","Region of Valparaíso",267891,,
"2010","2010","06000","Region of Libertador Gral. Bernardo O´Higgins",426892,,
"2010","2010","07000","Region of Maule",0,,
"2010","2010","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2010","2010","13000","Region Metropolitana de Santiago",217266,,
"2011","2011","15000","Region of Arica y Parinacota",1141,,
"2011","2011","01000","Region of Tarapacá",595891,,
"2011","2011","02000","Region of Antofagasta",2721201,,
"2011","2011","03000","Region of Atacama",427500,,
"2011","2011","04000","Region of Coquimbo",570438,,
"2011","2011","05000","Region of Valparaíso",322685,,
"2011","2011","06000","Region of Libertador Gral. Bernardo O´Higgins",420220,,
"2011","2011","07000","Region of Maule",0,,
"2011","2011","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2011","2011","13000","Region Metropolitana de Santiago",198119,,
"2012","2012","15000","Region of Arica y Parinacota",529,,
"2012","2012","01000","Region of Tarapacá",431054,,
"2012","2012","02000","Region of Antofagasta",2939958,,
"2012","2012","03000","Region of Atacama",389329,,
"2012","2012","04000","Region of Coquimbo",576145,,
"2012","2012","05000","Region of Valparaíso",344174,,
"2012","2012","06000","Region of Libertador Gral. Bernardo O´Higgins",440814,,
"2012","2012","07000","Region of Maule",0,,
"2012","2012","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2012","2012","13000","Region Metropolitana de Santiago",362707,,
"2013","2013","15000","Region of Arica y Parinacota",647,,
"2013","2013","01000","Region of Tarapacá",587881,,
"2013","2013","02000","Region of Antofagasta",3048303,,
"2013","2013","03000","Region of Atacama",420992,,
"2013","2013","04000","Region of Coquimbo",577495,,
"2013","2013","05000","Region of Valparaíso",329422,,
"2013","2013","06000","Region of Libertador Gral. Bernardo O´Higgins",470596,,
"2013","2013","07000","Region of Maule",0,,
"2013","2013","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2013","2013","13000","Region Metropolitana de Santiago",415784,,
"2014","2014","15000","Region of Arica y Parinacota",2263,,
"2014","2014","01000","Region of Tarapacá",607983,,
"2014","2014","02000","Region of Antofagasta",3048022,,
"2014","2014","03000","Region of Atacama",405102,,
"2014","2014","04000","Region of Coquimbo",546887,,
"2014","2014","05000","Region of Valparaíso",304101,,
"2014","2014","06000","Region of Libertador Gral. Bernardo O´Higgins",473286,,
"2014","2014","07000","Region of Maule",138,,
"2014","2014","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",857,,
"2014","2014","13000","Region Metropolitana de Santiago",404492,,
"2015","2015","15000","Region of Arica y Parinacota",5914,,
"2015","2015","01000","Region of Tarapacá",579596,,
"2015","2015","02000","Region of Antofagasta",3108358,,
"2015","2015","03000","Region of Atacama",446388,,
"2015","2015","04000","Region of Coquimbo",507256,,
"2015","2015","05000","Region of Valparaíso",295323,,
"2015","2015","06000","Region of Libertador Gral. Bernardo O´Higgins",487153,,
"2015","2015","07000","Region of Maule",17,,
"2015","2015","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",831,,
"2015","2015","13000","Region Metropolitana de Santiago",401753,,
"2016","2016","15000","Region of Arica y Parinacota",2090,,
"2016","2016","01000","Region of Tarapacá",614859,,
"2016","2016","02000","Region of Antofagasta",2947929,,
"2016","2016","03000","Region of Atacama",491785,,
"2016","2016","04000","Region of Coquimbo",487704,,
"2016","2016","05000","Region of Valparaíso",274400,,
"2016","2016","06000","Region of Libertador Gral. Bernardo O´Higgins",499752,,
"2016","2016","07000","Region of Maule",0,,
"2016","2016","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",654,,
"2016","2016","13000","Region Metropolitana de Santiago",307203,,
"2017","2017","15000","Region of Arica y Parinacota",415,,
"2017","2017","01000","Region of Tarapacá",613554,,
"2017","2017","02000","Region of Antofagasta",2897266,,
"2017","2017","03000","Region of Atacama",511390,,
"2017","2017","04000","Region of Coquimbo",474101,,
"2017","2017","05000","Region of Valparaíso",288076,,
"2017","2017","06000","Region of Libertador Gral. Bernardo O´Higgins",464548,,
"2017","2017","07000","Region of Maule",0,,
"2017","2017","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",359,,
"2017","2017","13000","Region Metropolitana de Santiago",308255,,
"2008","2008","15000","Region of Arica y Parinacota",0,,
"2008","2008","01000","Region of Tarapacá",671159,,
"2008","2008","02000","Region of Antofagasta",2905992,,
"2008","2008","03000","Region of Atacama",453310,,
"2008","2008","04000","Region of Coquimbo",398056,,
"2008","2008","05000","Region of Valparaíso",304162,,
"2008","2008","06000","Region of Libertador Gral. Bernardo O´Higgins",397208,,
"2008","2008","07000","Region of Maule",0,,
"2008","2008","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2008","2008","13000","Region Metropolitana de Santiago",233689,,
"2009","2009","15000","Region of Arica y Parinacota",76,,
"2009","2009","01000","Region of Tarapacá",730739,,
"2009","2009","02000","Region of Antofagasta",2940184,,
"2009","2009","03000","Region of Atacama",428927,,
"2009","2009","04000","Region of Coquimbo",365243,,
"2009","2009","05000","Region of Valparaíso",289266,,
"2009","2009","06000","Region of Libertador Gral. Bernardo O´Higgins",421919,,
"2009","2009","07000","Region of Maule",0,,
"2009","2009","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",0,,
"2009","2009","13000","Region Metropolitana de Santiago",235490,,
"2018","2018","01000","Region of Tarapacá",633109,,
"2018","2018","02000","Region of Antofagasta",3170397,,
"2018","2018","03000","Region of Atacama",475904,,
"2018","2018","04000","Region of Coquimbo",482975,,
"2018","2018","05000","Region of Valparaíso",274498,,
"2018","2018","06000","Region of Libertador Gral. Bernardo O´Higgins",465289,,
"2018","2018","11000","Region of Aysén del Gral. Carlos Ibánez del Campo",313,,
"2018","2018","13000","Region Metropolitana de Santiago",369542,,
"2019","2019","15000","Region of Arica y Parinacota",2370,,
"2019","2019","01000","Region of Tarapacá",640381,,
"2019","2019","02000","Region of Antofagasta",3160891,,
"2019","2019","03000","Region of Atacama",483628,,
"2019","2019","04000","Region of Coquimbo",487396,,
"2019","2019","05000","Region of Valparaíso",253135,,
"2019","2019","06000","Region of Libertador Gral. Bernardo O´Higgins",459993,,
"2019","2019","13000","Region Metropolitana de Santiago",334256,,
