"DTI_CL_ANO","Year","DTI_CL_T064CAT_MINERAS","Mining category","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2010","2010","T064001","Large-scale mining","T065001","Copper",5086023,,
"2010","2010","T064001","Large-scale mining","T065002","Molybdenum",37044,,
"2010","2010","T064001","Large-scale mining","T065003","Gold",31,,
"2010","2010","T064001","Large-scale mining","T065004","Silver",1193.12,,
"2010","2010","T064001","Large-scale mining","T065005","Iron",5361603,,
"2010","2010","T064002","Medium-scale Mining","T065001","Copper",280922,,
"2010","2010","T064002","Medium-scale Mining","T065003","Gold",6.11,,
"2010","2010","T064002","Medium-scale Mining","T065004","Silver",77.7,,
"2010","2010","T064002","Medium-scale Mining","T065007","Lead",695,,
"2010","2010","T064002","Medium-scale Mining","T065008","Zinc",27662,,
"2010","2010","T064003","Small-scale mining","T065001","Copper",89703,,
"2010","2010","T064003","Small-scale mining","T065003","Gold",2.38,,
"2010","2010","T064003","Small-scale mining","T065004","Silver",15.87,,
"2010","2010","T064003","Small-scale mining","T065005","Iron",490726,,
"2011","2011","T064001","Large-scale mining","T065001","Copper",4859400,,
"2011","2011","T064001","Large-scale mining","T065002","Molybdenum",40698,,
"2011","2011","T064001","Large-scale mining","T065003","Gold",37.36,,
"2011","2011","T064001","Large-scale mining","T065004","Silver",1178.52,,
"2011","2011","T064001","Large-scale mining","T065005","Iron",5998267,,
"2011","2011","T064002","Medium-scale Mining","T065001","Copper",305581,,
"2011","2011","T064002","Medium-scale Mining","T065003","Gold",6.39,,
"2011","2011","T064002","Medium-scale Mining","T065004","Silver",98.4,,
"2011","2011","T064002","Medium-scale Mining","T065005","Iron",1749175,,
"2011","2011","T064002","Medium-scale Mining","T065007","Lead",841,,
"2011","2011","T064002","Medium-scale Mining","T065008","Zinc",36602,,
"2011","2011","T064003","Small-scale mining","T065001","Copper",92214,,
"2011","2011","T064003","Small-scale mining","T065003","Gold",1.39,,
"2011","2011","T064003","Small-scale mining","T065004","Silver",14.36,,
"2012","2012","T064001","Large-scale mining","T065001","Copper",5092126,,
"2012","2012","T064001","Large-scale mining","T065002","Molybdenum",34793,,
"2012","2012","T064001","Large-scale mining","T065003","Gold",40.42,,
"2012","2012","T064001","Large-scale mining","T065004","Silver",1070.94,,
"2012","2012","T064001","Large-scale mining","T065005","Iron",6184797,,
"2012","2012","T064002","Medium-scale Mining","T065001","Copper",307419,,
"2012","2012","T064002","Medium-scale Mining","T065003","Gold",7.24,,
"2012","2012","T064002","Medium-scale Mining","T065004","Silver",105.37,,
"2012","2012","T064002","Medium-scale Mining","T065005","Iron",3244261,,
"2012","2012","T064002","Medium-scale Mining","T065007","Lead",410,,
"2012","2012","T064002","Medium-scale Mining","T065008","Zinc",26762,,
"2012","2012","T064003","Small-scale mining","T065001","Copper",85165,,
"2012","2012","T064003","Small-scale mining","T065003","Gold",2.27,,
"2012","2012","T064003","Small-scale mining","T065004","Silver",18.21,,
"2013","2013","T064001","Large-scale mining","T065001","Copper",5461320,,
"2013","2013","T064001","Large-scale mining","T065002","Molybdenum",38433,,
"2013","2013","T064001","Large-scale mining","T065003","Gold",39.87,,
"2013","2013","T064001","Large-scale mining","T065004","Silver",1039.9,,
"2013","2013","T064001","Large-scale mining","T065005","Iron",5443909,,
"2013","2013","T064002","Medium-scale Mining","T065001","Copper",306507,,
"2013","2013","T064002","Medium-scale Mining","T065003","Gold",9.17,,
"2013","2013","T064002","Medium-scale Mining","T065004","Silver",113.44,,
"2013","2013","T064002","Medium-scale Mining","T065005","Iron",3644436,,
"2013","2013","T064002","Medium-scale Mining","T065007","Lead",1829,,
"2013","2013","T064002","Medium-scale Mining","T065008","Zinc",29759,,
"2013","2013","T064003","Small-scale mining","T065001","Copper",83293,,
"2013","2013","T064003","Small-scale mining","T065003","Gold",2.27,,
"2013","2013","T064003","Small-scale mining","T065004","Silver",20.5,,
"2014","2014","T064001","Large-scale mining","T065001","Copper",5478043,,
"2014","2014","T064001","Large-scale mining","T065002","Molybdenum",48898,,
"2014","2014","T064001","Large-scale mining","T065003","Gold",39.79,,
"2014","2014","T064001","Large-scale mining","T065004","Silver",1497.79,,
"2014","2014","T064001","Large-scale mining","T065005","Iron",5703408,,
"2014","2014","T064002","Medium-scale Mining","T065001","Copper",246990,,
"2014","2014","T064002","Medium-scale Mining","T065003","Gold",4.46,,
"2014","2014","T064002","Medium-scale Mining","T065004","Silver",60.55,,
"2014","2014","T064002","Medium-scale Mining","T065005","Iron",3724231,,
