"DTI_CL_ANO","Year","DTI_CL_T065MIN_METAL_NOMETAL","Metallic and non-metallic minerals","Value","Flag Codes","Flags"
"2010","2010","T065009","Clays",100030,,
"2010","2010","T065011","Calcium Carbonate",6518417,,
"2010","2010","T065012","Sodium chloride",7694879,,
"2010","2010","T065013","Sulfur compounds",4879450,,
"2010","2010","T065014","Boron compounds",503609,,
"2010","2010","T065015","Lithium compounds",52851,,
"2010","2010","T065016","Potassium compounds",1525996,,
"2010","2010","T065017","Diatomite",30925,,
"2010","2010","T065019","Feldspar",7723,,
"2010","2010","T065020","Nitrates",1058712,,
"2010","2010","T065022","Pyrophyllite",1126,,
"2010","2010","T065023","Pumicite",824049,,
"2010","2010","T065024","Silicon resources",1326293,,
"2010","2010","T065025","Phosphoric rocks",50528,,
"2010","2010","T065026","Ornamental rocks",6185,,
"2010","2010","T065027","Copper sulfate",12023,,
"2010","2010","T065028","Sodium sulfate",60,,
"2010","2010","T065029","Talc",238,,
"2010","2010","T065030","Peat",1343,,
"2010","2010","T065031","Plaster",758011,,
"2010","2010","T065032","Iodine",15793,,
"2011","2011","T065009","Clays",108536,,
"2011","2011","T065011","Calcium Carbonate",6269692,,
"2011","2011","T065012","Sodium chloride",9966038,,
"2011","2011","T065013","Sulfur compounds",4913000,,
"2011","2011","T065014","Boron compounds",491421,,
"2011","2011","T065015","Lithium compounds",69597,,
"2011","2011","T065016","Potassium compounds",1371689,,
"2011","2011","T065017","Diatomite",22938,,
"2011","2011","T065018","Dolomite",1498,,
"2011","2011","T065019","Feldspar",7562,,
"2011","2011","T065020","Nitrates",927922,,
"2011","2011","T065022","Pyrophyllite",349,,
"2011","2011","T065023","Pumicite",816565,,
"2011","2011","T065024","Silicon resources",1236843,,
"2011","2011","T065025","Phosphoric rocks",15929,,
"2011","2011","T065026","Ornamental rocks",7318,,
"2011","2011","T065027","Copper sulfate",11187,,
"2011","2011","T065030","Peat",958,,
"2011","2011","T065031","Plaster",917759,,
"2011","2011","T065032","Iodine",16000,,
"2011","2011","T065033","Zeolites",94,,
"2012","2012","T065009","Clays",68328,,
"2012","2012","T065011","Calcium Carbonate",6657824,,
