BALANZA COMERCIAL Y BALANZA DE PAGOS (1) (2) (3);;;;;;;;;;;;;;
(Millones de dólares fob);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;Exportaciones;;Importaciones;;Saldo de la Balanza Comercial;;Saldo de la Balanza de Pagos;;;;;;
Año;Mes;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;Mes  ;Acumulado Anual;;;;;
;;;;;;;;;;;;;;
2003;Enero;1.739;1.739;1.613;1.613;126;126;906;906;;;;;
;Febrero;1.598;3.337;1.289;2.902;309;435;36;941;;;;;
;Marzo;1.857;5.194;1.307;4.209;550;984;28;969;;;;;
;Abril;1.805;6.998;1.575;5.785;229;1.214;-716;253;;;;;
;Mayo;1.878;8.876;1.510;7.295;368;1.581;-313;-59;;;;;
;Junio;1.625;10.501;1.372;8.667;253;1.834;-248;-307;;;;;
;Julio;1.744;12.245;1.554;10.221;190;2.024;-4;-311;;;;;
;Agosto;1.760;14.006;1.521;11.742;239;2.263;45;-267;;;;;
;Septiembre;1.678;15.684;1.455;13.197;223;2.487;16;-251;;;;;
;Octubre;1.917;17.601;1.652;14.849;266;2.752;-21;-272;;;;;
;Noviembre;1.899;19.500;1.503;16.352;396;3.148;44;-228;;;;;
;Diciembre;2.151;21.651;1.516;17.868;635;3.783;-138;-366;;;;;
2004;Enero;2.295;2.295;1.676;1.676;620;620;139;139;;;;;
;Febrero;2.581;4.877;1.440;3.116;1.141;1.761;10;149;;;;;
;Marzo;2.809;7.685;1.859;4.974;950;2.711;-58;91;;;;;
;Abril;2.804;10.489;1.742;6.716;1.062;3.773;157;248;;;;;
;Mayo;2.679;13.168;1.837;8.553;843;4.615;93;341;;;;;
;Junio;2.492;15.660;1.714;10.267;778;5.393;-225;116;;;;;
;Julio;2.836;18.495;2.020;12.286;816;6.209;-8;108;;;;;
;Agosto;2.803;21.298;1.996;14.282;807;7.016;-103;5;;;;;
;Septiembre;2.788;24.086;2.101;16.384;686;7.702;-26;-20;;;;;
;Octubre;2.769;26.855;2.245;18.628;524;8.227;-271;-291;;;;;
;Noviembre;2.967;29.822;2.042;20.671;925;9.151;171;-120;;;;;
;Diciembre;3.203;33.025;2.193;22.864;1.010;10.161;-70;-191;;;;;
2005;Enero;2.905;2.905;2.170;2.170;735;735;-265;-265;;;;;
;Febrero;2.884;5.789;2.005;4.175;880;1.615;-169;-434;;;;;
;Marzo;3.641;9.431;2.546;6.720;1.095;2.710;59;-375;;;;;
;Abril;3.494;12.925;2.391;9.112;1.103;3.813;1.582;1.207;;;;;
;Mayo;3.283;16.208;2.563;11.675;720;4.533;578;1.784;;;;;
;Junio;3.480;19.688;2.414;14.089;1.066;5.599;-548;1.236;;;;;
;Julio;3.439;23.127;2.749;16.838;689;6.288;-434;802;;;;;
;Agosto;3.351;26.478;2.655;19.493;696;6.985;3;804;;;;;
;Septiembre;3.486;29.963;2.771;22.264;715;7.699;-532;273;;;;;
;Octubre;3.489;33.453;3.013;25.277;477;8.176;-596;-323;;;;;
;Noviembre;4.091;37.544;2.834;28.111;1.257;9.433;1.139;815;;;;;
;Diciembre;4.430;41.974;2.563;30.674;1.868;11.300;901;1.716;;;;;
2006;Enero;4.073;4.073;2.982;2.982;1.091;1.091;-1.157;-1.157;;;;;
;Febrero;4.291;8.364;2.472;5.455;1.818;2.909;316;-841;;;;;
;Marzo;5.644;14.008;3.030;8.484;2.614;5.523;-230;-1.071;;;;;
;Abril;5.264;19.272;2.442;10.926;2.823;8.346;1.341;270;;;;;
;Mayo;4.708;23.981;3.317;14.243;1.392;9.738;555;824;;;;;
;Junio;6.026;30.007;3.113;17.356;2.913;12.651;-475;350;;;;;
;Julio;4.990;34.997;3.027;20.383;1.963;14.613;-602;-252;;;;;
;Agosto;5.135;40.131;3.435;23.818;1.700;16.313;-94;-347;;;;;
;Septiembre;4.942;45.073;3.255;27.074;1.687;18.000;621;275;;;;;
;Octubre;4.392;49.465;3.173;30.247;1.219;19.219;-63;211;;;;;
;Noviembre;4.112;53.578;3.243;33.490;869;20.088;-500;-289;;;;;
;Diciembre;5.803;59.380;2.993;36.483;2.810;22.897;2.286;1.997;;;;;
2007;Enero;5.407;5.407;2.980;2.980;2.427;2.427;-1.985;-1.985;;;;;
;Febrero;5.183;10.591;2.893;5.873;2.291;4.718;-1.321;-3.305;;;;;
;Marzo;6.041;16.632;3.513;9.386;2.528;7.246;-817;-4.122;;;;;
;Abril;6.218;22.850;3.250;12.636;2.969;10.214;2.047;-2.075;;;;;
;Mayo;6.394;29.244;3.849;16.485;2.545;12.759;-460;-2.535;;;;;
;Junio;5.939;35.183;3.504;19.989;2.435;15.194;951;-1.584;;;;;
;Julio;5.468;40.651;3.740;23.729;1.728;16.921;526;-1.058;;;;;
;Agosto;5.575;46.226;4.145;27.874;1.430;18.352;-2.826;-3.883;;;;;
;Septiembre;5.291;51.517;3.661;31.535;1.630;19.981;348;-3.536;;;;;
;Octubre;5.803;57.320;4.424;35.959;1.379;21.360;-38;-3.574;;;;;
;Noviembre;5.412;62.731;4.411;40.370;1.001;22.361;-386;-3.959;;;;;
;Diciembre;5.830;68.561;4.108;44.478;1.722;24.083;745;-3.214;;;;;
2008;Enero;6.265;6.265;4.251;4.251;2.013;2.013;-179;-179;;;;;
;Febrero;6.120;12.384;4.340;8.592;1.779;3.792;95;-84;;;;;
;Marzo;6.772;19.156;4.469;13.060;2.303;6.095;433;349;;;;;
;Abril;6.290;25.446;5.196;18.256;1.094;7.189;511;860;;;;;
;Mayo;6.197;31.643;5.183;23.439;1.014;8.204;935;1.795;;;;;
;Junio;5.832;37.475;5.123;28.563;709;8.912;974;2.769;;;;;
;Julio;5.846;43.321;5.791;34.354;55;8.967;1.708;4.477;;;;;
;Agosto;5.042;48.364;5.561;39.915;-518;8.449;945;5.422;;;;;
;Septiembre;4.396;52.760;5.397;45.312;-1.001;7.448;1.962;7.384;;;;;
;Octubre;4.118;56.877;5.503;50.814;-1.385;6.063;-187;7.197;;;;;
;Noviembre;3.393;60.270;3.814;54.628;-421;5.642;-1.106;6.091;;;;;
;Diciembre;4.240;64.510;3.828;58.455;412;6.055;353;6.444;;;;;
2009;Enero;3.652;3.652;3.155;3.155;496;496;739;739;;;;;
;Febrero;3.436;7.088;2.789;5.944;647;1.143;-364;375;;;;;
;Marzo;4.299;11.387;2.909;8.854;1.390;2.533;85;460;;;;;
;Abril;4.368;15.754;3.193;12.047;1.174;3.707;188;647;;;;;
;Mayo;4.279;20.033;2.775;14.822;1.504;5.211;-24;623;;;;;
