"6.5. Share of World Mineral Production 2019, by Countries; column A Rank in 2019, column B Rank in 2018, column C Country, column D physical unit, column E production in 2019, column F Share of Total in %, column G Cumulative Share in %, column H is HHI: Herfindahl-Hirschman Index as a measure of market concentrations (details see Chapter 4.6)";;;;;;;
Rank 2019;Rank 2018;Country;unit;Production 2019;Share in %;Share cum.%;Share HHI
1;(  1);Mexico;kg;7485602;26,91;26,91;724,15
2;(  2);Peru;kg;3860306;13,88;40,79;192,58
3;(  3);China;kg;3443200;12,38;53,17;153,22
4;(  4);Russia;kg;1361000;4,89;58,06;23,94
5;(  7);Australia;kg;1325089;4,76;62,82;22,69
6;(  5);Chile;kg;1309321;4,71;67,53;22,15
7;(  6);Poland;kg;1249000;4,49;72,02;20,16
8;(  8);Bolivia;kg;1153109;4,15;76,16;17,18
9;(  9);Argentina;kg;1039813;3,74;79,90;13,97
10;(10);Kazakhstan;kg;1022068;3,67;83,58;13,50
11;(11);United States;kg;977000;3,51;87,09;12,34
12;(15);Indonesia;kg;487400;1,75;88,84;3,07
13;(12);India;kg;441818;1,59;90,43;2,52
14;(13);Sweden;kg;419926;1,51;91,94;2,28
15;(14);Canada;kg;419218;1,51;93,45;2,27
16;(16);Turkey;kg;242000;0,87;94,32;0,76
17;(19);Morocco;kg;185690;0,67;94,98;0,45
18;(18);Uzbekistan;kg;172000;0,62;95,60;0,38
19;(20);Papua New Guinea;kg;146186;0,53;96,13;0,28
20;(17);Dominican Republic;kg;108696;0,39;96,52;0,15
21;(21);Portugal;kg;95270;0,34;96,86;0,12
22;(22);Spain;kg;90783;0,33;97,19;0,11
23;(24);Mongolia;kg;63390;0,23;97,41;0,05
24;(28);South Africa;kg;55903;0,20;97,62;0,04
25;(23);Korea, North;kg;50000;0,18;97,80;0,03
26;(26);Brazil;kg;50000;0,18;97,98;0,03
27;(25);Iran;kg;50000;0,18;98,15;0,03
28;(31);Honduras;kg;45174;0,16;98,32;0,03
29;(32);Eritrea;kg;44836;0,16;98,48;0,03
30;(39);Finland;kg;40461;0,15;98,62;0,02
31;(27);Bulgaria;kg;40055;0,14;98,77;0,02
32;(29);Greece;kg;37790;0,14;98,90;0,02
33;(**);Panama;kg;35217;0,13;99,03;0,02
34;(30);Laos;kg;34443;0,12;99,15;0,02
35;(33);Philippines;kg;31267;0,11;99,27;0,01
36;(34);Kyrgyzstan;kg;19010;0,07;99,33;0,00
37;(35);Romania;kg;18000;0,06;99,40;0,00
38;(37);Armenia;kg;17922;0,06;99,46;0,00
39;(36);North Macedonia;kg;17880;0,06;99,53;0,00
40;(41);Nicaragua;kg;17362;0,06;99,59;0,00
41;(43);Serbia;kg;14502;0,05;99,64;0,00
42;(40);Tanzania;kg;12550;0,05;99,69;0,00
43;(38);Colombia;kg;11666;0,04;99,73;0,00
44;(42);Tajikistan;kg;11100;0,04;99,77;0,00
45;(44);Azerbaijan;kg;8160;0,03;99,80;0,00
46;(51);Namibia;kg;7765;0,03;99,83;0,00
47;(48);Burkina Faso;kg;5670;0,02;99,85;0,00
48;(46);Saudi Arabia;kg;5588;0,02;99,87;0,00
49;(45);Korea, South;kg;5243;0,02;99,89;0,00
50;(47);New Zealand;kg;4060;0,01;99,90;0,00
51;(49);Germany;kg;4000;0,01;99,92;0,00
52;(50);Ghana;kg;4000;0,01;99,93;0,00
53;(52);Japan;kg;3467;0,01;99,94;0,00
54;(53);Congo, D.R.;kg;3400;0,01;99,95;0,00
55;(54);Mali;kg;3000;0,01;99,97;0,00
56;(64);Ecuador;kg;2892;0,01;99,98;0,00
57;(56);Ireland;kg;1578;0,01;99,98;0,00
58;(58);Sudan;kg;1000;0,00;99,98;0,00
59;(59);Senegal;kg;898;0,00;99,99;0,00
60;(57);Ethiopia;kg;800;0,00;99,99;0,00
61;(61);Fiji;kg;692;0,00;99,99;0,00
62;(55);Malaysia;kg;686;0,00;100,00;0,00
63;(60);Cote d'Ivoire;kg;500;0,00;100,00;0,00
64;(62);Slovakia;kg;295;0,00;100,00;0,00
65;(**);United Kingdom;kg;130;0,00;100,00;0,00
66;(63);Niger;kg;100;0,00;100,00;0,00
67;(65);Cyprus;kg;97;0,00;100,00;0,00
68;(66);Algeria;kg;30;0,00;100,00;0,00
;;Total;kg;27817074;100,00;;1229
