"6.5. Share of World Mineral Production 2019, by Countries; column A Rank in 2019, column B Rank in 2018, column C Country, column D physical unit, column E production in 2019, column F Share of Total in %, column G Cumulative Share in %, column H is HHI: Herfindahl-Hirschman Index as a measure of market concentrations (details see Chapter 4.6)";;;;;;;
Rank 2019;Rank 2018;Country;unit;Production 2019;Share in %;Share cum.%;Share HHI
1;(  1);China;kg;380230;11,55;11,55;133,38
2;(  2);Australia;kg;325711;9,89;21,44;97,88
3;(  3);Russia;kg;305050;9,27;30,71;85,85
4;(  4);United States;kg;200000;6,07;36,78;36,90
5;(  5);Canada;kg;182783;5,55;42,33;30,82
6;(  6);Ghana;kg;142381;4,32;46,66;18,70
7;(  7);Mexico;kg;133893;4,07;50,73;16,54
8;(  8);Peru;kg;128413;3,90;54,63;15,21
9;(  9);Indonesia;kg;108900;3,31;57,93;10,94
10;(11);Kazakhstan;kg;106559;3,24;61,17;10,48
11;(10);South Africa;kg;105185;3,19;64,37;10,21
12;(13);Uzbekistan;kg;93000;2,82;67,19;7,98
13;(14);Brazil;kg;89988;2,73;69,92;7,47
14;(15);Papua New Guinea;kg;70450;2,14;72,06;4,58
15;(16);Mali;kg;66739;2,03;74,09;4,11
16;(12);Sudan;kg;57700;1,75;75,84;3,07
17;(17);Argentina;kg;53092;1,61;77,46;2,60
18;(18);Burkina Faso;kg;50302;1,53;78,98;2,33
19;(19);Tanzania;kg;48408;1,47;80,45;2,16
20;(25);Bolivia;kg;42000;1,28;81,73;1,63
21;(26);Turkey;kg;39000;1,18;82,91;1,40
22;(20);Chile;kg;38455;1,17;84,08;1,36
23;(22);Colombia;kg;36676;1,11;85,20;1,24
24;(21);Congo, D.R.;kg;33752;1,03;86,22;1,05
25;(29);Cote d'Ivoire;kg;32568;0,99;87,21;0,98
26;(24);Dominican Republic;kg;31873;0,97;88,18;0,94
27;(23);Zimbabwe;kg;29429;0,89;89,07;0,80
28;(28);Guinea;kg;27708;0,84;89,91;0,71
29;(27);Suriname;kg;24516;0,74;90,66;0,55
30;(30);Kyrgyzstan;kg;23797;0,72;91,38;0,52
31;(31);Philippines;kg;20646;0,63;92,01;0,39
32;(33);Guyana;kg;19963;0,61;92,62;0,37
33;(32);Mongolia;kg;16300;0,50;93,11;0,25
34;(34);Egypt;kg;14946;0,45;93,56;0,21
35;(36);Senegal;kg;14550;0,44;94,01;0,20
36;(41);Mauritania;kg;13554;0,41;94,42;0,17
37;(35);Saudi Arabia;kg;12418;0,38;94,80;0,14
38;(40);Korea, North;kg;10000;0,30;95,10;0,09
39;(47);Nicaragua;kg;9190;0,28;95,38;0,08
40;(42);Venezuela;kg;9100;0,28;95,66;0,08
41;(38);Nigeria;kg;9000;0,27;95,93;0,07
42;(37);New Zealand;kg;8217;0,25;96,18;0,06
43;(48);Iran;kg;8140;0,25;96,43;0,06
44;(52);Tajikistan;kg;8100;0,25;96,67;0,06
45;(46);Sweden;kg;7972;0,24;96,91;0,06
46;(44);Finland;kg;7927;0,24;97,15;0,06
47;(43);Bulgaria;kg;7467;0,23;97,38;0,05
48;(50);Namibia;kg;7016;0,21;97,59;0,05
49;(51);Japan;kg;6313;0,19;97,79;0,04
50;(45);Ecuador;kg;6293;0,19;97,98;0,04
51;(55);Armenia;kg;5825;0,18;98,15;0,03
52;(54);Laos;kg;5207;0,16;98,31;0,03
53;(49);Liberia;kg;4903;0,15;98,46;0,02
54;(57);Zambia;kg;4522;0,14;98,60;0,02
55;(58);Costa Rica;kg;4500;0,14;98,74;0,02
56;(56);Azerbaijan;kg;3897;0,12;98,85;0,01
57;(60);Malaysia;kg;3151;0,10;98,95;0,01
58;(65);Honduras;kg;3035;0,09;99,04;0,01
59;(59);Ethiopia;kg;2800;0,09;99,13;0,01
60;(62);Georgia;kg;2620;0,08;99,21;0,01
61;(63);Greece;kg;2333;0,07;99,28;0,01
62;(61);Madagascar;kg;2059;0,06;99,34;0,00
63;(39);Togo;kg;2000;0,06;99,40;0,00
64;(64);Rwanda;kg;2000;0,06;99,46;0,00
65;(66);Spain;kg;1913;0,06;99,52;0,00
66;(**);Panama;kg;1869;0,06;99,58;0,00
67;(67);India;kg;1724;0,05;99,63;0,00
68;(72);Serbia;kg;1452;0,04;99,67;0,00
69;(53);Niger;kg;1208;0,04;99,71;0,00
70;(69);Fiji;kg;1106;0,03;99,74;0,00
71;(68);French Guiana;kg;1105;0,03;99,78;0,00
72;(70);Botswana;kg;943;0,03;99,80;0,00
73;(76);Poland;kg;674;0,02;99,83;0,00
74;(73);North Macedonia;kg;593;0,02;99,84;0,00
75;(74);Burundi;kg;573;0,02;99,86;0,00
76;(75);Vietnam;kg;540;0,02;99,88;0,00
77;(71);Romania;kg;500;0,02;99,89;0,00
78;(82);Cameroon;kg;450;0,01;99,91;0,00
79;(78);Mozambique;kg;430;0,01;99,92;0,00
80;(83);Eritrea;kg;400;0,01;99,93;0,00
81;(79);Kenya;kg;395;0,01;99,94;0,00
82;(89);Central African Republic;kg;359;0,01;99,95;0,00
83;(77);Slovakia;kg;346;0,01;99,96;0,00
84;(80);Myanmar;kg;250;0,01;99,97;0,00
85;(85);Morocco;kg;221;0,01;99,98;0,00
86;(87);Korea, South;kg;181;0,01;99,98;0,00
87;(88);Congo, Rep.;kg;150;0,00;99,99;0,00
88;(90);Gabon;kg;107;0,00;99,99;0,00
89;(81);Sierra Leone;kg;75;0,00;99,99;0,00
90;(86);Algeria;kg;70;0,00;100,00;0,00
91;(**);United Kingdom;kg;50;0,00;100,00;0,00
92;(91);Cyprus;kg;33;0,00;100,00;0,00
93;(93);Germany;kg;15;0,00;100,00;0,00
94;(**);Eswatini;kg;6;0,00;100,00;0,00
95;(95);Taiwan;kg;6;0,00;100,00;0,00
96;(94);Benin;kg;5;0,00;100,00;0,00
