"6.5. Share of World Mineral Production 2019, by Countries; column A Rank in 2019, column B Rank in 2018, column C Country, column D physical unit, column E production in 2019, column F Share of Total in %, column G Cumulative Share in %, column H is HHI: Herfindahl-Hirschman Index as a measure of market concentrations (details see Chapter 4.6)";;;;;;;
Rank 2019;Rank 2018;Country;unit;Production 2019;Share in %;Share cum.%;Share HHI
1;(  1);China;metr. t;104440;37,77;37,77;1426,68
2;(  2);Chile;metr. t;54759;19,80;57,58;392,20
3;(  3);United States;metr. t;43600;15,77;73,34;248,64
4;(  4);Peru;metr. t;30441;11,01;84,35;121,20
5;(  5);Mexico;metr. t;21694;7,85;92,20;61,56
6;(  6);Armenia;metr. t;7137;2,58;94,78;6,66
7;(  8);Iran;metr. t;4160;1,50;96,28;2,26
8;(  7);Canada;metr. t;3940;1,42;97,71;2,03
9;(  9);Mongolia;metr. t;2490;0,90;98,61;0,81
10;(10);Russia;metr. t;1989;0,72;99,33;0,52
11;(11);Uzbekistan;metr. t;800;0,29;99,62;0,08
12;(12);Korea, North;metr. t;530;0,19;99,81;0,04
13;(16);Korea, South;metr. t;266;0,10;99,91;0,01
14;(15);Kazakhstan;metr. t;258;0,09;100,00;0,01
15;(**);Norway;metr. t;1;0,00;100,00;0,00
;;Total;metr. t;276505;100,00;;2263
